unit,category,use,translation,item,subcategory,value,year,source,jason_notes
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1687.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1688.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1640.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1641.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1642.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1643.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1644.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1645.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1646.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1647.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1648.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1649.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1650.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1651.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1652.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1653.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1654.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1655.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1656.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1657.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1658.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1660.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1661.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1662.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1665.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1666.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1667.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1669.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1671.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1672.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1673.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1674.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1675.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1676.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1677.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1678.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1679.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1680.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1681.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1682.0,,
Stück (Piece),Meat,preserved (cured),ham,Schincken,pork,null,1683.0,,
